,Unnamed: 0,gene,slope,intercept,r_value,r_squared,p_value,std_err,fdr
0,0,A1CF,0.09850764437895423,8.471013693743151,0.2016904878231651,0.04067905287834631,0.0965354733791715,0.0584425396166181,0.1722182483495148
1,1,A2M,-0.06409385539025525,9.897618891067907,-0.12875698834315225,0.016578362047198644,0.2917029577445589,0.060308435845738674,0.40794779657930774
2,2,AAAS,0.005402574021253415,9.209666367804454,0.004802842796657277,2.3067298929402693e-05,0.9687574211342496,0.1374231640763478,0.9805565472987875
3,3,AACS,0.07864843294113567,8.580436888489324,0.07661135883898146,0.005869300303155182,0.531527247019389,0.1250492956164863,0.6421403555417111
4,4,AADACP1,0.03184730433118452,9.142229827032779,0.05167436620370618,0.002670240122554732,0.6732588033393492,0.0751933627011124,0.7634689756052299
5,5,AAED1,-0.03098422302938453,9.422246300075557,-0.047348328833041776,0.0022418642432818553,0.6992475942329989,0.07985666930575844,0.7850294932804041
6,6,AAGAB,0.06517041878553101,8.741815171543397,0.05403468418653865,0.002919747095138969,0.6592359474999023,0.14713146202093355,0.7524155063167698
7,7,AAK1,0.01487360114325596,9.14083915446788,0.03043662395320475,0.0009263880776687971,0.8039299581469018,0.05967342913346771,0.8656316186021211
8,8,AAMDC,0.4201931172597687,6.2972141783191296,0.392004321151874,0.15366738780174152,0.0008648979021399851,0.12047341374935995,0.0036700564960427447
9,9,AAMP,0.4222374959347546,5.816821918977111,0.3153227604610567,0.09942844326478092,0.008312362861686264,0.15524699020643315,0.023416677581402902
10,10,AAR2,-0.1479280304701774,10.279521983215512,-0.1167716675921382,0.01363562235224882,0.3393087045615973,0.1537072246850442,0.4584000076189472
11,11,AARS,-0.4914758829001216,13.381072132116255,-0.4924591545365584,0.24251601888686186,1.7221089169120065e-05,0.10611611007110522,0.00015695717752236087
12,12,AARS2,-0.2553435846057944,10.525208541559376,-0.21591281610174345,0.046618344156985285,0.07477810253390595,0.14107255217987466,0.13906286760268102
13,13,AASDH,0.044945244759791066,8.963627995628553,0.045616515408750655,0.0020808664780367857,0.7097508977616216,0.12024635381841202,0.7933873734969655
14,14,AASDHPPT,-0.4905677097800969,13.318982991413224,-0.44728819826844735,0.20006673231023386,0.00011658794091332386,0.11983977836287678,0.0007278079754354442
15,15,AATF,-0.5817334412905341,13.450934016233633,-0.5447198065773559,0.296719667677672,1.306382126774957e-06,0.10941520994550974,2.019364729937852e-05
16,16,AATK,0.19558175777327028,8.305080971531057,0.18582370397630413,0.0345304489594731,0.1263346691241771,0.12634530900625202,0.2129961940559351
17,17,AB488780,-0.492701112725689,10.825456810110934,-0.4308234548110942,0.1856088492153669,0.00021959066489313225,0.12608497180818068,0.0012188504113061752
18,18,ABAT,0.1487735883525069,8.072932256237129,0.26982929703158803,0.07280784953656096,0.02494916362319186,0.0648610848030216,0.05762722275212063
19,19,ABCA1,-0.15842696973708267,10.372186566877863,-0.30406216403464353,0.09245379959743047,0.011084043658267043,0.060640629844963836,0.02964746322272725
20,20,ABCA11P,0.0015622203841270939,9.234729657098082,0.0015483564168003324,2.397407593446765e-06,0.989925658230172,0.12326320053998745,0.9942459380646637
21,21,ABCA13,-0.016753807939216086,9.288152589326147,-0.018481665785395996,0.0003415719702030769,0.8801899362340283,0.11072886152998736,0.921220304959998
22,22,ABCA5,0.2237836972841604,8.290540990014655,0.27622488670079764,0.07630018803286849,0.021591669682283043,0.0951247803570348,0.05110512481959675
23,23,ABCA8,0.06608826262110755,8.874388681746483,0.34843690908303665,0.12140827961134035,0.003346222497068011,0.021719825622493576,0.011120312308362369
24,24,ABCB1,0.0072838703841418785,9.196420735141434,0.019850677923659927,0.00039404941402887964,0.8713880381303252,0.04481917736381822,0.9141667969059
25,25,ABCB10,0.032071348744982214,8.996226002560357,0.025452885436003225,0.0006478493770183051,0.8355423943973662,0.15388705057606553,0.8886232934721421
26,26,ABCB6,-0.05450881224565545,9.419337271242279,-0.06849758090498627,0.00469191858983514,0.5759935231855671,0.0969913152491867,0.6812106668779343
27,27,ABCB7,0.2317659267193993,7.549812089259851,0.16288978066136842,0.026533080643908708,0.1811259673685824,0.17150585351557615,0.28344899326531
28,28,ABCC1,-0.3710663006663556,11.101018355571249,-0.60803239831311,0.3697033973983924,3.0057869770482945e-08,0.059191572206222724,1.0161088348682752e-06
29,29,ABCC10,-0.3559985321481655,11.285177349339492,-0.5177140071625629,0.26802779321231823,5.223643586117021e-06,0.0718733993947701,6.13591398400218e-05
30,30,ABCC13,0.18651799011758546,8.417337078709169,0.5534022406205932,0.3062540399238929,8.150552733283993e-07,0.03429593488505804,1.3757075396221375e-05
31,31,ABCC3,0.032654019835700314,9.022528033192993,0.039228282279879866,0.0015388581306299374,0.7489495235946614,0.10161680666196247,0.8246852179662599
32,32,ABCC4,-0.15636377881856514,10.438358906482547,-0.21558064757935694,0.046475015610734895,0.07523724539559715,0.08652767261234101,0.13978638653145645
33,33,ABCC5,0.1669706495968776,8.619869830926183,0.1118926257419448,0.01251995969542693,0.3600085426324279,0.18116130192100444,0.4798188977982268
34,34,ABCD1,-0.1791866565112374,9.869369677650758,-0.1361805609769615,0.018545145187999927,0.26453248669747204,0.1592532520018682,0.3787581081967753
35,35,ABCD3,0.5899758444062991,3.8882827974569736,0.5677690759511401,0.3223617236064115,3.6238352337666905e-07,0.10450186932325124,7.362722621814259e-06
36,36,ABCD4,0.4357949804619303,6.293129664225324,0.36383374820035386,0.1323749963295185,0.0021186182535725853,0.13630377105186736,0.007652733063840365
