,gene,slope,intercept,r_value,r_squared,p_value,std_err
5603,LRCH2,-0.015988508730821645,9.40572263647959,-0.0215381335908092,0.00046389119857554367,0.827363978375455,0.07312746584097374
5604,LRCH3,-0.20086244793819918,10.323184666538841,-0.1896650370887345,0.03597282629387103,0.05264130229061196,0.10245602358123487
5605,LRCH4,0.7421332437466313,5.120048416570914,0.3986394668389663,0.1589134245216553,2.532214499956323e-05,0.16822995592972664
5606,LRFN3,-0.4445243124203865,10.748648976984402,-0.2407405455661989,0.05795601027951108,0.01336751447957279,0.1765888416115008
5607,LRFN4,-0.18819791765612714,10.22281477578732,-0.2502038939478299,0.0626019885466569,0.010046670010156604,0.07175697975755328
5608,LRG1,-0.04771121383623066,9.653923915935621,-0.07002344824064197,0.004903283303509864,0.4778221820329551,0.06697165119072616
5609,LRIF1,-0.4706912787645106,12.736794866729879,-0.5085498156655088,0.258622915013423,3.0478806577740556e-08,0.07852421747091126
5610,LRIG1,0.041798281544366996,9.065341944553147,0.06888121157407393,0.0047446213079123355,0.48505008492061885,0.05964943080174572
5611,LRIG2,-0.2678049567320683,10.573644733900512,-0.23854480064124445,0.056903621912971054,0.014262473774589663,0.1074256727392969
5612,LRIG3,0.0692044916107244,8.889906089309628,0.06025026785676008,0.0036300947768113374,0.5415000335685489,0.11297100412916145
5613,LRMP,0.2049485151520398,8.276299403974178,0.4070948253778147,0.16572619684939346,1.6344003489569864e-05,0.04530904256502375
5614,LRP1,-0.24232583107441807,10.568205111439546,-0.2924591213219495,0.08553233764440678,0.0024664823556470156,0.0780728626888464
5615,LRP10,-0.0751699469286851,9.882099993075254,-0.07018975952507277,0.0049266023421875435,0.4767746513407979,0.10526389473489232
5616,LRP11,-0.42337893062327003,13.526778427553142,-0.5657541639733689,0.32007777405320553,3.199645541009394e-10,0.06080124738266622
5617,LRP12,-0.17556897434743,10.000694334442116,-0.20339903481854718,0.04137116736511657,0.03742676652745562,0.08327325015391256
5618,LRP3,-0.30728388543739804,10.32819972622405,-0.3040023636696083,0.09241743711670879,0.0016172460901251896,0.09488275462339194
5619,LRP4,-0.08599091085754089,9.918824964474751,-0.21784872007684747,0.04745806483912064,0.02558535020410698,0.03795954309823027
5620,LRP6,-0.4297339685705678,11.604916385301255,-0.41857997982963185,0.17520919951417502,8.84515223131331e-06,0.09187017066784109
5621,LRP8,-0.34241151110115126,10.715511198218593,-0.5383322786923808,0.2898016422821311,3.161230459798606e-09,0.05281644360233008
5622,LRPAP1,-0.013179867715813878,9.420968534991447,-0.0073183423068742095,5.355813412058492e-05,0.9409355875212487,0.1774467663156343
5623,LRPPRC,-0.5381890334838294,13.43047175609708,-0.3883286798758555,0.15079916361412465,4.25094799298544e-05,0.12584094527450732
5624,LRR1,0.12249015861506192,8.305073390853975,0.10851314366880677,0.011775102348887097,0.2705156214606166,0.11056766421327469
5625,LRRC1,0.411130336686406,5.680716599581977,0.4609860486624375,0.21250813706140717,7.469079438230821e-07,0.07798232278888581
5626,LRRC15,-0.18168106191761288,10.030511112161287,-0.38596848112740223,0.14897166842379386,4.774666818684352e-05,0.04278693877406869
5627,LRRC16A,-0.03982262425542409,9.64666675575784,-0.044327485095255685,0.001964925934870115,0.6534279610614006,0.08843233109136941
5628,LRRC16B,-0.024019418735157654,9.450674078299855,-0.014152517582823172,0.00020029375393211903,0.8860600841772721,0.16721170694372126
5629,LRRC17,0.06659215548444551,9.093809158370936,0.13930947386677156,0.019407129509036707,0.1563862197595426,0.04664103442780896
5630,LRRC19,0.2646196543689889,7.098831843927551,0.6479582250278583,0.41984986138125263,7.937960152583597e-14,0.03064973180162042
5631,LRRC2,-0.2907505950052466,10.411480252727975,-0.2763626538109477,0.07637631642142974,0.0043202869334313145,0.09962542238314136
5632,LRRC20,-0.3087884325033721,10.82585350725628,-0.2726436240581791,0.07433454573957769,0.004895379827758505,0.10736780949031886
5633,LRRC28,0.18635475932180187,8.486048783375724,0.1600470723902438,0.02561506538068794,0.1029126297884553,0.11325031593691229
5634,LRRC31,0.25808577342254035,7.569305655880969,0.5049013861277998,0.2549254097137736,3.964513057187538e-08,0.0434749174844889
5635,LRRC32,-0.33836160178043806,11.277965939954555,-0.5315823096530807,0.2825797519361038,5.386380068269796e-09,0.05312253055465728
5636,LRRC34,-0.3161281135534014,10.42542840741568,-0.464048057927775,0.2153406000665396,6.166240842249903e-07,0.059459621299382225
5637,LRRC36,-0.3012308265910706,10.57988189596193,-0.26082521171050055,0.06802979106382744,0.0072020571007336475,0.10985814148972324
5638,LRRC37A2,-0.11159935951319144,10.160737360656494,-0.16177171715327968,0.02617008847072072,0.09920858570535218,0.06707830027753685
5639,LRRC37A3,-0.3852055190274199,11.2030104941547,-0.41085576695708226,0.1688024612418923,1.340031170483087e-05,0.08422414781794069
5640,LRRC37A4P,-0.393292385006253,10.652602708501247,-0.2700931428014266,0.07295030578835182,0.005328267827166821,0.13814490573832033
5641,LRRC40,0.7569779669637944,3.453772996574049,0.32967073635327737,0.10868279440771211,0.0005942768598261095,0.21359956965713786
5642,LRRC41,-0.5816041946443337,13.71758401315971,-0.4004355818134452,0.16034865518227234,2.3096172370324764e-05,0.13113715295701003
5643,LRRC42,-0.14890890127246234,10.416542341785542,-0.08897838450857906,0.007917152909756543,0.36671963584066203,0.16424475165248686
5644,LRRC45,-0.3255167566424052,10.520856541361526,-0.16932647307060336,0.028671454482529765,0.08420308025931188,0.1866865160055277
5645,LRRC47,-0.7132170328136689,16.467910667570305,-0.524644484556114,0.27525183517515056,9.203390434607442e-09,0.11403326113846167
5646,LRRC49,-0.30694642931692856,10.975663039319102,-0.3345458923464311,0.11192095408586988,0.0004864455611619796,0.0851949952352681
5647,LRRC57,0.06556977767909747,8.834556738499401,0.047813905641189425,0.0022861695726645657,0.6281310956770436,0.1349689517483778
5648,LRRC58,-0.5888087125129856,13.695530284839577,-0.6438078437582363,0.4144885396846296,1.2826917488673451e-13,0.06895520463796787
5649,LRRC59,-0.31085041872671176,12.54661102644393,-0.26729727204235426,0.07144783164128433,0.005841647522035138,0.11041840567983023
5650,LRRC6,-0.24475214159587685,10.463437078351372,-0.38840151595869604,0.15085573759901322,4.235674207562687e-05,0.0572160288348923
5651,LRRC61,-0.31018309347002543,10.960021892587621,-0.34490348321906084,0.11895841273664098,0.0003144169282715353,0.08317640286707313
