,WT : APC : Tantin_13,WT : APC : Tantin_14,WT : APC : Tantin_15,WT : APC : Tantin_19,WT : APC : Tantin_6,WT : APC : Tantin_7,WT : APC : Tantin_9,WT : APC : Tantin_10,WT : APC : Tantin_11,WT : APC : K28_APC,WT : APC : K30_APC,WT : APC : K16_APC,WT : APC : S01_APC,WT : APC : K17_APC,WT : APC : K19_APC,WT : APC : K23_APC,KO : APC : S06_APC,KO : APC : S02_APC,KO : APC : N19_APC,KO : APC : N22_APC,KO : APC : M15_APC,WT : APC : K28_p1APC,WT : APC : K30_p1APC,WT : APC : K30_p2APC,WT : APC : K16_p1APC,WT : APC : K16_p2APC,WT : APC : K16_p3APC,WT : APC : S01_p1APC,KO : APC : S06_p1APC,KO : APC : S02_p1APC,KO : APC : S02_p2APC,WT : APC : K17_p1APC,WT : APC : K19_p1APC,WT : APC : K19_p2APC,WT : APC : K19_p3APC,WT : APC : K23_p1APC,WT : APC : K23_p2APC,KO : APC : N19_p1APC,KO : APC : N22_p1APC,KO : APC : M15_p1APC,KO : APC : M15_p2APC,KO : APC : L30_p1APC,KO : APC : L30_p2APC,KO : APC : L35_p1APC,KO : APC : L35_p2APC,KO : APC : L30_p3APC,KO : APC : L30_p4APC,KO : APC : L35_p5APC,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,KO : APC : L35_p3APC,KO : APC : L35_p4APC
Mrps5,1574.91,1236.31,1093.08,1102.19,1226.93,1592.37,1366.2,1156.3,1381.23,1417.71,1345.32,1272.51,806.37,948.25,1025.01,1178.32,724.58,683.57,1074.89,1039.81,974.49,1110.86,740.15,1152.66,813.27,1054.62,1039.39,1204.16,892.58,450.86,828.74,1014.59,888,611.72,895.98,848.54,913.12,878.81,889.69,816.19,811.27,922.81,748.18,626.21,532.28,872.35,829.23,598.15,1029.45,1004.24,954.33,1095.19,864.6,653.36,1161.98,615.62
Muc2,37081.88,38669.82,26571.5,74356.6,56283.37,78993.5,9566.46,46213.57,14597.85,59243.69,113514.42,96143.95,49639.88,62929.46,96083.33,84851.34,58891.46,39134.15,104922.32,141829.98,108309.23,30998.08,33622.91,21480.24,40750.84,57450.8,47282.34,46885.38,11904.76,3335.17,38125.31,37780.71,34248.58,11927.26,14812.56,52975.2,3959.79,24717.04,22032.49,9588.88,7102.47,19303.16,12940.2,5340.6,7384.5,77281.7,10236.59,2200,112907.46,146173.66,163661.02,139253.56,153422.62,119482.56,15929.34,4135.57
Myc,4202.56,4460.31,6118.13,3520.42,4031.33,2604.18,6542.4,5534.02,5314.52,2323.48,2401.25,1659.88,1845.09,3014.93,2387.44,2155.25,1183.71,2259.57,2245.87,2205.76,1910,11752.41,8687.27,5893.5,5630.3,4332.58,3220.69,5209.94,10262.85,6514.28,7838.79,4675.77,10591.13,8816.59,5532.26,6551.07,2282.8,7361.65,8385.31,8683.85,8949.08,8890.61,6430.25,7731.14,8792.67,6838.22,6321.93,6818.44,1758.12,1755.56,1823.73,1811.71,1790.43,1517.17,7064.89,6431.67
Notch1,2486.58,2275.67,2682.41,1529.9,2033.19,2211.62,2887.44,2456.57,3015.2,807.31,942.03,751.84,1995.44,3836.75,1489.76,817.61,1528.06,2354.51,975.81,975.03,908.52,1795.05,2162.38,2156.16,2083.21,2614.07,1944.94,3211.11,4694.32,3670.42,2430.15,2590.12,2964.93,3318.91,3176.47,1669.17,860.44,2658.07,2643.65,3256.44,2230.99,2368.99,1748.33,3650.09,3126.28,1598.57,2613.76,4030.47,1062.01,966.83,1291.21,1145.78,884.01,1132.03,2955.94,3209.36
Nr2e3,134.75,127.44,160.94,124.55,152.74,165.87,147.37,152.97,142.08,152.6,160.08,160.36,587.7,291.77,197.36,168.33,373.05,731.04,177.15,167.05,176.91,90.89,84.17,97.64,65.69,58.78,82.58,125.69,47.75,118.49,87.24,62.12,70.8,106.73,86.89,78.16,105.36,90.91,114.39,49.97,98.51,101,59.13,114.29,64.01,100.74,120.63,101,150.39,133.2,128.83,145.26,92.58,155.43,88.52,120.17
Nrf1,1031.69,893.72,827.08,707.37,838.82,934.41,1135.94,868.35,1151.71,1073.13,923.56,855.97,3567.18,3019.8,1362.43,1115.2,1707.41,3873.54,1282.07,1183,1007.47,1322.93,1338.07,1296.41,1188.62,1473.01,1150.45,1532.57,1766.8,1618.45,1492.36,1434.35,1596.04,1369.21,1313.07,1083.01,913.12,1179.68,1401.26,1585.19,1131.91,1078.9,917.87,1607.18,1576.62,891.17,942.26,1442.14,910.07,814.17,940.02,892.8,878.04,1090.77,1593.38,1556.62
Olfm2,391.62,427,384.48,305.51,513.31,425.74,449.77,359.94,482.27,98.45,123.14,145.79,82,72.94,133.7,90.18,121.96,94.94,138.11,153.41,140.93,345.88,357.01,197.99,231.47,269.71,239.2,206.78,440.78,361.26,295.98,246.59,362.87,299.35,252.96,281.92,447.78,298.71,298.68,369.23,218.27,238.74,164.55,276.2,387.42,389.68,358.64,313.95,260.46,251.44,249.08,220.34,238.92,220.08,299.18,384.53
Pcx,835.88,1309.13,1575.92,1724.96,2421.3,2814.28,835.07,1633.21,719.99,2308.71,2250.4,1901.47,6423.66,5494.96,2756.7,2257.45,4125.06,5667.9,2933.44,3371.71,3022.42,747.31,1158.11,1063.16,1654.68,2551.83,2093.02,2250.21,1252.55,1517.3,1685.53,1336.47,1065.01,682,577.36,803.88,965.8,1142.88,1690.41,888.37,668.33,998.56,899.87,692.87,1047.71,943.2,627.08,441.57,2910.05,2752.32,2643.5,2559.24,3424.06,2422.25,1138.45,526.88
Pdha1,7725.04,6805.49,6804.38,6140.76,6840.74,5761.27,7417.38,5619.51,6572.79,8850.87,9244.81,8061.98,9457.82,11451.89,9346.03,7761.31,8479.68,8990.79,8785.31,9341.24,9379.08,8124.44,7828.12,10298.04,8016.92,12033.03,10564.77,12309.24,9307.83,7713.67,9159.79,11218.82,8661.71,8215.28,9490.78,7703.86,3231.05,8807.57,9916.85,8517.28,8006.46,8649.58,7620.65,9100.22,8294.09,8461.14,7328.3,8449.26,10976.64,10018.5,11452.92,12089.49,10897.85,11024.61,10518.34,7868.12
Pdhb,4114.13,3430.88,3522.9,3001.05,3705.82,3317.43,4282.8,3414.9,4097.24,3908.56,3401.77,5856.44,5466.95,8043.07,8034.53,5630.1,10552.97,2686.79,5596.66,5144.5,6149.78,2183.85,2008.55,2332.45,3500.17,4419.03,4131.94,5003.16,5902.79,2554.85,2243.22,4589.18,5065.45,4636.06,4572.57,4055.69,4943.15,4409.2,5325.42,4747.24,3868.98,2047.62,1781.75,2250.05,2459.25,1732.53,1912.77,2311.18,4838.71,4419.57,2460.26,5345.36,2287.68,4768.85,2793.46,2445.85
Pdk1,1979.16,1567.32,2360.52,1734.36,1855.41,2067.86,2052.37,1763.69,1964.6,1870.59,1813.25,1797.34,2665.14,2878.78,2011.82,2101.14,1406.11,2553.88,3026.52,2955.79,2335.78,1494.61,1648.64,1678.82,1463.88,2683.23,2400.57,2396.17,1564.77,2404.56,1610.75,2302.12,1466.24,1613.9,1766.85,1808.73,2133.54,1922.12,2573.74,1951.64,1412,1705.58,1676.34,2028.62,2119,1585.29,1395.45,1729.47,2010.83,2012.98,1880.03,2301.36,2136.86,2021.98,2442.74,1710.06
Pdk2,947.47,756.35,1347.91,1250.24,1605.02,1658.71,835.07,1228.28,662.61,1452.17,1837.88,1445.37,4605.9,2304.97,961.34,967.91,3472.22,3958.99,1279.06,1281.86,1235.35,459.49,528.26,444.79,882.08,1936.35,1230.18,1516.36,1083.59,1338.12,1021.91,687.06,678.54,713.24,314.75,505.22,570.7,779.24,962.77,707.92,370.87,608.32,401.09,664.3,828.73,474.92,440.15,569.97,1635.64,1719.64,1569.87,1805.18,1633.63,1823.91,523.28,700.66
Pdk3,1048.53,710.01,762.25,712.07,908.93,873.59,953.27,893.09,916.72,2042.89,1813.25,1597.4,2241.45,2066.69,1515.23,1451.86,1901.11,2107.66,1173.98,1152.31,1178.38,1272.44,966.54,1147.24,819.52,1220.59,1062.17,1212.27,1193.78,789,1046.83,1012.71,935.21,830.38,809.08,1060.68,500.46,1045.48,946.88,985.54,832.52,1016.92,969.29,1016.69,902.85,1067.19,930.3,1039.72,1265.1,1297.59,1253.04,1447.74,1140.86,1361.74,1202.32,776.46
