,gene,slope,intercept,r_value,r_squared,p_value,std_err
0,A1CF,0.06724861172557436,8.761652318159019,0.15535782783018898,0.02413605466811464,0.11353266685722056,0.04213337093336887
1,A2M,-0.1275626595997049,10.556426279937073,-0.23227242258407002,0.0539504782930728,0.017111680821197992,0.05263374095577527
2,AAAS,-0.06271575723912484,9.614637003003262,-0.05985198308150394,0.003582259878788634,0.5441808421290526,0.10306239702254053
3,AACS,-0.023459134214162257,9.449344523650264,-0.0229445454031647,0.0005264521637578863,0.816283417025668,0.10071625351946172
4,AADACP1,0.12923278137826072,8.865100196901071,0.1960999232979451,0.03845517991745995,0.04497552123478817,0.06367389568105218
5,AAED1,-0.024720543745728876,9.407420651276887,-0.036040936596292227,0.0012989491107379563,0.7151057957918261,0.06754000551226307
6,AAGAB,0.19187098950431267,7.789895965961634,0.17505349429617892,0.030643725865302344,0.07408129955751114,0.10633142434944653
7,AAK1,-0.07335536167363257,9.741618529762391,-0.12470485500226342,0.015551300861135542,0.20497573114044698,0.057507757578656955
8,AAMDC,0.3811429511354416,6.607439254037251,0.33871705614114345,0.11472924412092252,0.0004087868586750575,0.10432064721338206
9,AAMP,0.2888152902859737,6.920281847761919,0.20423697579448524,0.04171274228167715,0.036632496197536765,0.13640021501200703
10,AAR2,-0.034209561701817465,9.50181777754465,-0.035176472902762386,0.0012373842458787763,0.7216555246755305,0.0957652056190768
11,AARS,-0.2544758146093055,11.436750923805668,-0.26978874951251725,0.07278596936352777,0.005382142856501714,0.08949402957450907
12,AARS2,-0.3678789071948804,11.085586200984071,-0.29619850533648845,0.08773355456356978,0.0021553013653249926,0.11688647544463472
13,AASDH,0.018044352193960368,9.143810462631635,0.017932854982378253,0.00032158728781900856,0.8559186163606676,0.0991296113114652
14,AASDHPPT,-0.36065525358115974,12.289889085359203,-0.2944773288277282,0.08671689719351397,0.0022938369176157096,0.11532527443617596
15,AATF,-0.2757562230276281,11.266088971244736,-0.29553906043970085,0.08734333624558115,0.002207460351967921,0.08783053656766694
16,AATK,-0.07334818164493792,9.608557854565628,-0.06791724432117285,0.004612752076181887,0.49119502869380105,0.10616630910916774
17,AB488780,-0.4761829870024518,10.757504245246961,-0.33377728639694915,0.11140727691451101,0.0005021555100362505,0.13251036774302807
18,ABAT,0.13284525862652782,8.241440355530935,0.2566217234950607,0.06585470896957538,0.008229150372621726,0.04929935568421329
19,ABCA1,-0.18347120663708893,10.529785728927738,-0.3461159813165719,0.11979627252273355,0.00029846106237603004,0.04900261470831095
20,ABCA11P,0.016893125477834236,9.19306871758698,0.014905354212947886,0.00022216958421344328,0.880043164440125,0.11166082840982743
21,ABCA13,-0.08574118376423441,9.496931250414239,-0.0776297228317129,0.006026373866928568,0.4312030382593546,0.10850012981983362
22,ABCA5,0.16669944579988677,8.57937144423498,0.20173112414116973,0.04069544644726003,0.03905077527859464,0.07974819974950371
