,gene,slope,intercept,r_value,r_squared,p_value,std_err
0,A1BG,0.2147501643687042,8.020954919315002,0.12317012403404572,0.015170879454562206,0.3322265208362558,0.2197418225770056
1,A1BG-AS1,-0.05907827685228395,9.123956254777829,-0.03998132578524617,0.0015985064115459904,0.7537701261267445,0.18751127837303344
2,A1CF,0.3756157656194462,5.793925051776053,0.7097578401313143,0.5037561916278682,5.163904785159366e-11,0.04734622087306818
3,A2M,0.4619607114236218,5.517483114264163,0.6329244880589606,0.4005934075846974,2.006192721426772e-08,0.07176588672875592
4,A2M-AS1,0.5565747396672367,6.887979360506919,0.44955969317267824,0.20210391772551262,0.00019404769355118586,0.14044731703540073
5,A2ML1,-0.5117159195111539,10.778444077651617,-0.19351958193868687,0.037449828593724144,0.12548111209338852,0.3294730179702816
6,A2MP1,-0.7667369083213885,11.536267021431016,-0.4051787571369004,0.1641698252350033,0.0008962555071472904,0.21971660487505745
7,A4GALT,0.05563427959339843,8.501647155248017,0.04299936095718303,0.001848945042726116,0.7358371495959674,0.16416582661014398
8,A4GNT,-0.3981601882840027,10.514400474390946,-0.1913419415379377,0.03661173859150757,0.12987415758582646,0.25938955678018855
9,AA06,-0.2682684877733434,10.076638965117382,-0.19668244996693193,0.038683986124994685,0.11930293528671013,0.1698405139899347
10,AAAS,-0.7015277678190298,14.063324250769487,-0.4873806322686039,0.2375398807105441,4.418149923943929e-05,0.15962074023492115
11,AACS,-0.10349769890578009,9.677007274805083,-0.10134437672769812,0.010270682694325602,0.4255496006681704,0.12903080617464388
12,AACSP1,-0.0637185143741049,9.065972746687377,-0.026505651835076943,0.0007025495792023177,0.8353051290306921,0.3051959016869592
13,AADAC,-0.4332842537538426,10.825655035051719,-0.42244139751503196,0.17845673433445325,0.0005066293825692721,0.1180662612729832
14,AADACL2,-0.6169160275588582,10.821164981687279,-0.21160061651030612,0.04477482090754164,0.09324830303163657,0.36188131583642624
15,AADACP1,0.021294194131183487,8.752341003371452,0.03496436914447057,0.0012225071096708057,0.7838649548295618,0.07729902946036309
16,AADAT,-0.2434643505041139,10.230706922459188,-0.48628734714428823,0.2364753839926295,4.622680427662887e-05,0.05555946887720204
17,AAED1,-0.32922425604653394,10.786852012428392,-0.36498584609224216,0.1332146678476699,0.0030231837040671085,0.10665365269427546
18,AAGAB,-0.048480638330210296,9.152477313098005,-0.02287428402248021,0.0005232328695410934,0.857614970668066,0.26909853105937137
19,AAK1,0.8920447083824401,4.372191782468676,0.47547252673785306,0.2260741236824784,7.173886265246457e-05,0.20961146452144638
20,AAMDC,1.0367316002795877,2.592567931494341,0.5065550813241886,0.2565980504153553,1.9473101894254693e-05,0.2241071245064644
21,AAMP,-0.5175682178769814,13.289870651819328,-0.25717973433264973,0.0661414157514123,0.04021489076537634,0.24698783850244901
22,AANAT,-0.26874651951691436,9.868349865390485,-0.11469098589289103,0.01315402224508333,0.36683013216611293,0.2956258490737381
23,AAR2,-0.45354374285260907,12.310707449052249,-0.2674108820239285,0.0715085798248154,0.03266370311842152,0.2075550028653035
24,AARS,-0.44827556098034554,12.850804728120535,-0.5467103721842929,0.298892231053888,2.9570475603071947e-06,0.08719353683564446
25,AARS2,-0.07239480638321165,9.319468322356295,-0.03436330868192479,0.0011808369835692475,0.7874927099866478,0.26739915211520165
26,AASDH,-0.0161178025036608,8.961728436677475,-0.01521033494052253,0.0002313542890028805,0.9050445987654906,0.13456154466056208
27,AASDHPPT,-0.2771677715637529,10.576660739356093,-0.2534055603272131,0.06421437800474884,0.04334223629146196,0.13437513986679897
28,AASS,0.21302176910785908,8.142078897559497,0.08148779856342113,0.006640261314712698,0.5220947198020648,0.3308939555959655
29,AATF,-0.4587617566319202,12.67747563335038,-0.41194042545350895,0.16969491412281795,0.0007193840443772301,0.12887711279742217
30,AATK,0.007284826372083624,8.814040784724419,0.006619094933151753,4.381241773407521e-05,0.9586006844955715,0.13977040917198508
31,AB488780,-0.5123551499702075,12.143694099360966,-0.31303313071996924,0.09798974092834535,0.011783810883649206,0.1974197942489726
32,ABAT,0.44417371966725555,5.81806607822499,0.6082315945054504,0.3699456725546426,9.766704826661703e-08,0.07361681739080056
33,ABCA1,0.5626216361980998,5.753590585232928,0.5289017473404279,0.27973705833975787,7.027662076454089e-06,0.11465450351182548
34,ABCA11P,0.23348359257026866,7.5622142804507995,0.20674059657752583,0.042741674273231285,0.10119485479982662,0.14032961488394252
35,ABCA12,-0.23074013291238782,9.625625694492898,-0.33065011981210585,0.10932950173175995,0.0076173086362374565,0.08364060065640731
36,ABCA13,-0.23767413176482693,9.544329327626587,-0.07184883773858823,0.00516225548438598,0.5726234610627576,0.41902742804547655
37,ABCA17P,0.051895642104205254,8.689718624201111,0.029809879109985837,0.00088862889255197,0.8151163872474222,0.22099466072995846
38,ABCA2,-0.7618018370578643,12.938143017927722,-0.3964123605624695,0.15714275960670931,0.0011837982958097493,0.22406601690175978
39,ABCA3,0.16589663750586459,7.9055467777950446,0.11907369069143389,0.01417854381487927,0.3486790439339673,0.17568110610573212
40,ABCA4,-0.7534749420211923,11.904871579772706,-0.39473479920898463,0.15581556170655742,0.001247475489603053,0.22273385063805978
41,ABCA5,0.3762408899936178,6.550212071533131,0.6634514470650066,0.44016782261265125,2.3106086983361524e-09,0.05388773515000849
42,ABCA6,0.8099657178887625,6.107248349053492,0.5662025093995182,0.3205852816503115,1.0809995868844499e-06,0.14974987841789011
43,ABCA7,-0.40409861672305747,11.0866350267025,-0.37337930166159794,0.13941210290930256,0.0023745515431273364,0.12750842960130881
44,ABCA8,0.27232773925283166,7.657097233487542,0.6280381072562458,0.3944318641660077,2.7745113567663446e-08,0.04285401797890997
45,ABCA9,0.6843366163958006,6.588622112402909,0.23482213311165218,0.05514143419910649,0.06179539589790498,0.3597645000333968
46,ABCB1,0.23109145241482862,7.267191226593395,0.6202014046891471,0.3846497823783912,4.613029780560983e-08,0.03712072682417412
47,ABCB10,0.16933633030815423,7.626119863908835,0.214258252799581,0.045906598892729154,0.08911430155847853,0.09804200544853205
48,ABCB11,0.3518612744122051,7.45689921153391,0.2269208668103994,0.05149307979398303,0.07135835428173103,0.19178800634534365
49,ABCB4,0.40295335024941265,7.270642302962045,0.22312158077400998,0.04978323980709306,0.07636012755446699,0.22357780660366922
50,ABCB5,-0.8711544645322216,11.827297628723116,-0.3448804204618826,0.11894250441796493,0.005257059316900699,0.30111535871486705
51,ABCB6,-0.567428021136468,11.983471726022582,-0.4569383258837488,0.208792633661443,0.00014735063441016736,0.14028218078493737
52,ABCB7,-0.08391635897682818,9.539243287615564,-0.057993633062895726,0.0033632614758337923,0.6489736799144058,0.1834589557432542
53,ABCB8,-0.8275645712365557,13.026206883976345,-0.4053579375617245,0.16431505754429493,0.0008911022085557064,0.23702199651441938
54,ABCB9,0.28592019275840264,7.413834192886836,0.14328460522311035,0.02053047809394258,0.2586766013907345,0.2508100386201576
55,ABCC1,-0.2836825174781427,10.745742745495289,-0.5957557773711455,0.3549249462710979,2.0666129873693547e-07,0.048570613437108424
56,ABCC10,-0.3502979881627371,11.235221074589123,-0.4214554364612186,0.17762468492271624,0.0005238390513148261,0.09572495501835618
57,ABCC11,-0.7148717419435142,11.689342775955005,-0.34801791406926874,0.12111646851312492,0.004833287949249618,0.24456615132594334
58,ABCC12,-0.7640665204761841,11.531163208539038,-0.2815270502761985,0.0792574800372172,0.024220057954404267,0.3307381519034926
59,ABCC13,0.3643608022142376,7.0045790352323785,0.6299079704272035,0.39678405120771865,2.4523987454452156e-08,0.05705518382925862
60,ABCC2,-0.3135519663068424,10.056483682713678,-0.2984106516526007,0.08904891701972982,0.0166166679793964,0.1273640589390529
61,ABCC3,-0.26793160746760264,10.889288264046932,-0.20350174237199226,0.04141295914843671,0.10677626551638249,0.16371020399281733
62,ABCC4,0.2534446088224996,7.485291910981722,0.25705466695516827,0.06607710180343247,0.04031544747203564,0.12100887725930937
63,ABCC5,-0.03684972608533495,9.065954129188666,-0.03533689888794836,0.001248696423017086,0.7816188105164805,0.1323544857533742
64,ABCC6P1,0.4091804091654437,7.103676391981888,0.3471009128878844,0.12047904372760272,0.0049539105466909665,0.1404062135605851
65,ABCC8,-0.2394641818194248,9.99352284227682,-0.21382955483450442,0.045723078520722334,0.08977122834655459,0.13893580965428604
66,ABCC9,-0.937976078924296,12.017577896105868,-0.23240811561666228,0.05401353220448786,0.0646004371010362,0.4985251703569077
67,ABCD1,-0.03902812456826922,9.088098104611536,-0.03646567807262271,0.0013297456772961565,0.7748238212287304,0.13583403487910717
68,ABCD2,0.4347709140531872,7.5805598839781165,0.16472024425422183,0.0271327588671705,0.19336282823070064,0.3306316693775339
69,ABCD3,0.6080026976482825,3.471154619046283,0.6636266635677968,0.4404003485981257,2.2804791723027813e-09,0.08704113631234364
70,ABCD4,0.2466022645619655,7.539618090990333,0.12260588922427705,0.015032204072475696,0.3344631264609462,0.25351338829751435
71,ABCE1,-0.2687520420954237,11.04911493603726,-0.47982836218486485,0.23023525715700985,6.020764561971496e-05,0.06240925822728201
72,ABCF1,-0.61458328727706,14.136985493239578,-0.3857413901065586,0.14879642004134022,0.0016444551797447657,0.18668326196870022
73,ABCF2,-0.657968091147315,12.896112144859742,-0.29575065338245854,0.08746844897615114,0.017657736668110362,0.26990269414539214
74,ABCF3,-0.6444420006402802,13.482230719459306,-0.3316650057613375,0.11000167604666804,0.007422589654075878,0.23279997840365782
