,KO : AOMDSS : AN-08_4,KO : AOMDSS : X-11_1,KO : AOMDSS : MPC-APC-Lrig N-43A_2,KO : AOMDSS : MPC-Lrig V-32_3,KO : AOMDSS : MPC-Lrig V29_3,KO : AOMDSS : APC-AJ-01_2,WT : AOMDSS : APC AJ-08_1,WT : AOMDSS : W-25_1,WT : AOMDSS : W23_1,WT : AOMDSS : W26_1,WT : AOMDSS : W27_1,WT : AOMDSS : APC AJ-04_1,WT : AOMDSS : APC AJ-08_2,WT : AOMDSS : APC AJ-08_3,WT : AOMDSS : APC AJ-08_4,WT : AOMDSS : W25_2,WT : AOMDSS : W27_2,WT : AOMDSS : APC Y07_2,WT : AOMDSS : APC X-09_1,WT : AOMDSS : APC U-30_1,WT : AOMDSS : APC Y-07_2,WT : AOMDSS : APC M-24_1,WT : AOMDSS : APC M-24_2,WT : AOMDSS : APC P-36_1,WT : AOMDSS : Tantin_1,WT : AOMDSS : Tantin_2,WT : AOMDSS : Tantin_3,WT : AOMDSS : Tantin_4,WT : AOMDSS : Tantin_5,WT : AOMDSS : AD12_p1AOMDSS,WT : AOMDSS : AD12_p2AOMDSS,WT : AOMDSS : AO22_p1AOMDSS,WT : AOMDSS : AO22_p2AOMDSS,WT : AOMDSS : AO22_p3AOMDSS,WT : AOMDSS : AD14_p1AOMDSS,WT : AOMDSS : AD14_p2AOMDSS,WT : APC : AD14_p3AOMDSS,KO : AOMDSS : AH03_p1AOMDSS,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,WT : AOMDSS : AD12_AOMDSS,WT : AOMDSS : AO22_AOMDSS,WT : AOMDSS : AH03_AOMDSS,WT : AOMDSS : AD14_AOMDSS,KO : AOMDSS : AN08_2,KO : AOMDSS : AN08_1,KO : AOMDSS : N43A_3,KO : AOMDSS : APC AJ01_1,KO : AOMDSS : V32_2,KO : AOMDSS : V32_4,KO : AOMDSS : V32_5,KO : AOMDSS : V29_1,KO : AOMDSS : V29_2,KO : AOMDSS : V29_5,KO : AOMDSS : V29_7
Lin28a,61.46,81.51,67.81,74.84,50.57,61.78,78.58,82.58,43.31,53.07,38.92,75.67,130.2,136.26,138.07,311.06,196.86,171.02,114.72,121.96,140.19,129.53,134.06,123.96,118.19,86.09,132.57,122.64,166.07,90.16,86.05,79.17,97.84,77.37,113.84,88.17,83.02,71.47,51.16,47.89,59.17,42.44,58.24,56.4,51.99,90.57,59.1,89.79,646.05,739.19,625.37,218.6,286.39,667.73,716.73,361,132.16,350.02,478.56
Lrig1,1284.61,2744.63,1578.38,3213.63,2609.3,2166.02,1432.18,3909.67,2276.55,2030.52,2363.78,2504.71,1559.87,1283.77,948.62,3109.03,2088.67,1850.17,3633.2,2443.53,3093.41,1919.8,3727.54,1669.87,3808.4,5012.77,1841.13,2333.59,2067.68,1118.31,1364.84,2264.9,1326.44,1679.84,1087.9,1322.57,2262.98,2358.61,3337.95,1782.5,3582.56,2289.94,1939.75,1870.68,2361.65,2034.83,2652.71,1721.31,2268.58,2503.93,2608.52,2388.77,2873.38,4568.2,4637.46,4476.75,1876.95,3480.01,3160.82
Lyz1,77650.53,111744.98,135384.45,67587.97,88773.49,58199.43,117710.12,86724.32,20223.69,61074.89,15798.03,77764.28,149444.69,94134.17,107969.57,52914.28,21503.94,25863.48,81633.08,89728.91,89379.7,88919.05,87440.22,17989.41,84282.35,46148.09,79969.22,70375.76,29406.88,52196.6,89318.36,101896.05,175520.7,86597.68,247854.28,145260.5,103747.91,48178.96,1172.08,498.38,265.3,326.43,698.85,938.09,3915.29,11991.59,3742.69,12767.43,75660.93,36454.76,101037.91,165176.67,232841.08,170747.72,143345.23,51310.29,89936.38,123637.8,116371.54
MPC1,947.72,1188.08,1022.74,1197.39,978.77,911.46,4220.93,4942.52,3905.24,5369.79,6595.93,5359.61,4425.41,4585.14,3890.87,4817.56,4744.55,5045.21,2537.35,5163.64,4257.63,3677.69,3701.53,4331.46,3662,3904.32,3380.66,3008.97,4638.07,4209.07,4371.2,4932.17,3726.66,4660.87,3803.91,4258.92,3878.73,5975.15,6939.47,6906.99,7044.87,541.88,754.1,602.47,6853.24,7903.83,7623.26,5405.06,1572.83,2027.11,1557.79,912.58,977.52,1406.49,1393.97,1562.27,874.76,1009.67,1476.41
MPC2,3699.05,3339.79,3511.8,4120.37,4512.9,4434.7,3378.82,4099.72,4378.05,4435.73,5548.51,4427.38,3576.04,3674.03,3129.12,4227.32,4260.75,5387.25,3601.5,4466.74,4403.92,3876.61,3987.65,4490.43,3797.82,3928,3514.89,3060.79,3949.84,5025.26,4150.12,3568.04,3289.47,4188.45,3256.2,4180.03,3894.1,5360.48,7252.64,6890.52,7867.5,8621.13,7429,7068.68,7668.68,8435.18,7203.03,6405.52,3764.85,4284.64,3640.94,3465.95,3008.29,3252.12,3211.6,4909.13,3881.34,2941.51,3367.38
Mmp7,36619.49,30294.81,34077.31,25440.99,20266.46,26968.38,34171.45,14319.62,979.02,10048.59,289.28,18195.51,40826.85,34666.84,30959.14,19007.75,258.58,209.89,21485.25,27296.96,31441.53,27196.38,17081.08,803.58,26628.85,12143.44,24591,14341.85,10591.26,15305.14,28823.18,25443.51,38367.59,31436.25,50027.49,42365.32,36559.67,11294.78,201.55,257.42,337.83,259.52,218.02,193.95,317.86,839.29,334.87,561.8,21100.87,4620.28,33867.11,38495.53,41159.91,43545.81,37969.78,10986.91,21379.63,43276.26,29627.08
Mrps5,1516.8,1486.21,1377.78,1843.07,1420.39,2033.92,1568.58,1695.77,1352.58,1659.02,1399.51,1692.76,1330.47,1556.29,1369.96,1795.02,1456.4,1686.92,1698.11,1428.66,1606.13,1242.09,1546.64,1258.6,1215.37,1007.29,1042.37,858.47,1077.23,721.28,849.88,471.15,454.53,697.49,489.72,654.33,462.74,847.47,1029.45,1004.24,954.33,1095.19,864.6,653.36,1063.49,1328.37,912.69,661.84,1656.1,1554.3,1621.17,1182.53,1233.14,1691.93,1507.86,1564.31,1027.37,1282.28,1397.86
Muc2,17606.73,19778.55,29767.86,25502.78,68371.06,23019.36,22718.45,51986.4,159167.34,37051.46,60175.48,26587.54,36924.71,26243.51,29340.42,63543.26,148242.08,106913.27,9147.16,35916.83,61087.96,37512.4,32567.49,168515.66,13531.39,216408.08,73000.75,46089.79,123444.55,87925.46,21452.24,8404.16,19776.42,19328.07,21343.55,23479.19,17104.53,43157.47,112907.46,146173.66,163661.02,139253.56,153422.62,119482.56,102455.52,75022.95,71964.65,111554.04,17556.3,36492.05,9269.26,24008.84,23428.49,17156.91,27750.36,44333.09,48950.22,37805.52,143272.72
Myc,6538.41,6162.58,6360.6,7691.65,4111.73,10724.62,6573.06,6320.41,3105.78,5524.76,2151.46,5919.34,6333.7,7525.35,7230.66,6509.4,2699.25,2922.95,9535.08,4832.61,6267.58,6747.05,6696.77,3237.66,5475.35,2580.64,4578.81,2848.33,4154.82,3313.79,4555.21,7199.67,4676.59,5915.18,4606.14,5062.91,6698.22,4370.07,1758.12,1755.56,1823.73,1811.71,1790.43,1517.17,2404.72,1998.6,1529.91,2090.71,9152.22,6556.82,8997.42,8883.48,7339.67,9370.17,9815.5,6897.66,5512.86,7503.55,6878.75
Notch1,3813.63,3048.35,2923.2,3838.43,2381.18,3796.96,3576.74,3055.56,1376.94,2983.69,1421.63,3220.62,4424.17,3966.24,3261.24,4099.86,1838.43,1927.91,4372.82,4412.29,2866.36,3080.93,3787.57,1491.95,5921.64,1609.94,2218.97,1680.67,2001.85,937.99,1716.97,3261.72,2974.89,3005.65,2230.58,2346.99,2487.43,2683.3,1062.01,966.83,1291.21,1145.78,884.01,1132.03,937.23,923.82,1096.54,956.85,4214.8,3509.49,5467.75,4618.2,4168.06,4734.81,4942.68,4654.19,3533.64,3686.99,3370.28
