,KO : AOMDSS : AN-08_4,KO : AOMDSS : X-11_1,KO : AOMDSS : MPC-APC-Lrig N-43A_2,KO : AOMDSS : MPC-Lrig V-32_3,KO : AOMDSS : MPC-Lrig V29_3,KO : AOMDSS : APC-AJ-01_2,WT : AOMDSS : APC AJ-08_1,WT : AOMDSS : W-25_1,WT : AOMDSS : W23_1,WT : AOMDSS : W26_1,WT : AOMDSS : W27_1,WT : AOMDSS : APC AJ-04_1,WT : AOMDSS : APC AJ-08_2,WT : AOMDSS : APC AJ-08_3,WT : AOMDSS : APC AJ-08_4,WT : AOMDSS : W25_2,WT : AOMDSS : W27_2,WT : AOMDSS : APC Y07_2,WT : AOMDSS : APC X-09_1,WT : AOMDSS : APC U-30_1,WT : AOMDSS : APC Y-07_2,WT : AOMDSS : APC M-24_1,WT : AOMDSS : APC M-24_2,WT : AOMDSS : APC P-36_1,WT : AOMDSS : Tantin_1,WT : AOMDSS : Tantin_2,WT : AOMDSS : Tantin_3,WT : AOMDSS : Tantin_4,WT : AOMDSS : Tantin_5,WT : AOMDSS : AD12_p1AOMDSS,WT : AOMDSS : AD12_p2AOMDSS,WT : AOMDSS : AO22_p1AOMDSS,WT : AOMDSS : AO22_p2AOMDSS,WT : AOMDSS : AO22_p3AOMDSS,WT : AOMDSS : AD14_p1AOMDSS,WT : AOMDSS : AD14_p2AOMDSS,WT : APC : AD14_p3AOMDSS,KO : AOMDSS : AH03_p1AOMDSS,WT : Norm : AR37_60,WT : Norm : AZ26_60,WT : Norm : G30_60,KO : Norm : G29_60,KO : Norm : AZ27_60,KO : Norm : AR38_60,WT : AOMDSS : AD12_AOMDSS,WT : AOMDSS : AO22_AOMDSS,WT : AOMDSS : AH03_AOMDSS,WT : AOMDSS : AD14_AOMDSS,KO : AOMDSS : AN08_2,KO : AOMDSS : AN08_1,KO : AOMDSS : N43A_3,KO : AOMDSS : APC AJ01_1,KO : AOMDSS : V32_2,KO : AOMDSS : V32_4,KO : AOMDSS : V32_5,KO : AOMDSS : V29_1,KO : AOMDSS : V29_2,KO : AOMDSS : V29_5,KO : AOMDSS : V29_7
Pgam1,13082.13,10070.73,10938.46,11437.83,10210.2,15452.05,13118.69,12167.94,9251.48,11012.37,9793.93,10657.13,11568.81,12036.62,12999.72,16539.03,9749.34,8823.28,15704.13,12969,11803.72,15659.08,16430.81,9113.57,18645.13,8951.54,10947.38,9305.01,11851.03,11303.28,12086.33,15383.18,11020.2,12810.36,9753.55,12787.21,16194.42,13722.83,11368.88,10756.34,10892.73,11723.88,10800.79,13371.21,12314.74,13042.22,13920.17,11210.3,16919.65,17117.26,18332.88,13243.58,12323.12,17634.79,16817.25,14266.46,13075.73,14583.04,12218.55
Pklr,3377.33,3347.6,3529.69,4328.34,3863.38,4166.67,3143.09,3706.04,3144.58,2636.6,4603.7,3333.14,3103.61,3071.54,3141.02,2970.96,2770.99,2557.58,3459.62,2726.65,3174.17,2935.21,3357.39,3077.23,1963.3,2983.13,3379,3186.89,3351.38,2401.12,2394.76,2118.24,1669.5,3249.48,2072.71,2486.21,2734.94,2893.64,3341.05,3214.78,3566.33,3368.8,3002.96,3368.59,3523.17,4395.71,4471.53,4345.59,3884.39,3068.64,3247.97,3081.43,2798.83,3168.17,3586.67,3036.85,3961.58,2860.74,2960.09
Pou5f1,23.52,25.68,28.25,31.33,37.08,34.22,31.88,33.94,51.43,33.97,32.73,26.19,49.6,27.91,58.32,206.36,270.26,163.25,24.15,60.98,42.67,67.08,54.02,138.55,42.34,73.18,58,24.18,89.77,36.38,26.48,42.83,29.72,24.62,16.11,30.16,43.05,10.21,43.41,35.92,46.76,39.17,46.29,55.02,53.47,78.49,98.49,51.31,644.71,781.81,642.27,161.97,237.87,760.72,701.54,403.83,73.95,387.04,466.92
Prom1,4710.51,5865.56,5190.94,5903.4,6082.75,5245.41,4145.32,6112.25,9351.64,3440.11,4320.62,4422.53,5361.58,6244.86,5959.49,5841.77,10837.05,5807.04,8704.89,5666.72,9083.65,5856.54,7034.91,12758.12,3522.64,7029.51,4282.17,5694.94,6279.35,5707,4630.67,4919.19,2520.35,4915.25,3824.31,4222.96,6097.12,5817.91,7277.45,7366.45,7599.33,7287.64,7297.59,10277.71,4155.91,5283.31,6447.93,5520.5,6315.49,5129.05,6955.12,4703.79,6674.58,9327.55,9110.92,7803.21,7861.8,9161.1,14478.99
Rpl19,81829.89,83696.8,75431.55,95918.88,91195.12,109764.88,83459.37,100671.75,64193.71,104101.17,92830.46,95883.15,76700.07,90644.02,85111.15,90838.73,63534.23,71425.8,85059.49,89336.91,89762.18,85592.95,84018.8,60846.07,100967.71,76876.89,68541.26,61018.92,72609.78,59477.45,69007.24,80434.62,56190.9,75794.22,59874.48,67169.41,90068.59,83541.79,65473.8,62296.07,70220.59,79254.95,58898.89,61326.54,71427.3,72106.56,72798.54,51649.48,78278.73,77981.3,82709.26,79926.32,73015.65,83785.25,83601.85,100456.65,72614.29,77063.27,70738.15
Sdha,3353.81,3527.38,3370.53,4007.24,4702.81,4295.93,3288.38,4065.79,4989.83,4439.98,6114.68,4495.28,4321.25,4603.2,3984.9,5280.35,6302.71,6833.18,4852.82,5011.19,4984.5,4209.68,4593.9,6399.48,3475.02,4429.49,3766.79,3159.25,5254.49,4697.84,3864.18,2909.98,2475.77,3660.94,2566.72,3330.8,2513.56,4999.03,7843.34,8566.76,8059.32,8190.23,8265.23,6167.73,8108.33,8459.33,4661.94,6590.22,4511.64,5347.48,4805.76,3853.11,3814.21,4780.02,4643.53,6298.04,4803.3,4132.93,4785.6
Slc16a3,4525.36,2543.64,2587.94,2875.99,1245.09,4165.72,4051.17,2061.17,1309.27,1875.55,820.07,2842.29,1563.59,1882.98,3643.3,3172.76,834.13,412.01,4310.94,2190.9,2052.62,2301.45,2813.17,549.82,3690.22,1089.08,2525.55,1689.31,2470.15,968.04,2001.59,2097.47,1454,1530.96,1758.05,1840,3674.26,1623.46,244.96,273.88,192.77,337.86,358.38,495.18,384.7,809.1,584.38,723.41,3446.52,2894.17,4090.25,1880.46,2001.19,3731.28,2904.87,1197.2,1749.51,2751.36,1514.23
Slc25a44,671.52,704.58,713.85,730.09,745.03,873.44,729.43,836.01,789.53,814.12,845.72,842.99,724.14,753.52,618.92,781.43,894.19,792.93,745.66,781.84,580.59,788.74,858.36,772.95,811.42,845.87,691.05,741.02,788.47,425.49,373.31,390.68,407.47,437.25,376.95,431.58,456.59,510.52,545.73,601.65,608.86,590.85,536.08,579.08,525.8,555.5,650.05,533.58,936.17,1189.36,1140.88,730.85,794.09,1155.93,1185.94,1097.26,752.04,937.31,1010.94
Sox9,5912.42,5252.54,7057.49,10216.95,9053.89,7266.97,7105.31,5188.01,2410.1,3478.32,2781.33,5929.04,8798.74,8489,7824.59,6831.08,2217.12,1990.1,7900.37,6705.55,7204.75,6261.32,7583.14,2527.41,4526.34,2505.31,4366.69,3637.71,3997.72,3459.32,4989.42,6376.78,6481.09,7795.47,4751.12,6264.83,5591.33,5095.01,2302.3,2140.19,2843.91,2715.93,2202.57,2211.8,2832.49,2590.33,2777.47,2583.24,7465.22,5099.75,11639.75,7357.25,10016.6,13673.61,12380.23,8082.63,7731.22,9618.82,10212.67
Tbp,560.74,588.45,606.49,631.76,679.86,743.23,549.3,584.87,528.76,563.62,531.67,615.99,672.06,678,659.39,792.05,727.36,1002.82,766.79,784.02,668.97,770.23,938.39,775.87,765.56,600.5,591.62,585.56,673.27,347.99,432.88,377.7,314.58,485.31,339.37,394.45,441.22,539.11,434.1,465.45,491.48,510.87,433.05,441.53,427.77,567.58,643.48,413.01,776.34,735.2,812.7,676.86,643.79,773.64,757.73,854.56,659.21,772.4,853.84
Tcf7l2,2541.15,2769.2,2749.92,2834.22,3280.17,2664.05,2166.06,2647.17,2458.82,2984.75,6800.28,3001.38,2978.38,2677.54,2143.61,3377.6,3076.28,3474.89,2430.18,3022.83,2186.72,2599.82,2336.97,3506,1984.46,2128.65,3035.97,2846.61,5492.38,1839.59,1575.33,1487.44,1258.32,1577.85,1443.38,1746.03,1271.39,2362.69,3542.6,3606.9,3528.16,3270.87,3519.63,3350.71,3946.48,3628.88,3269.93,3270.74,3302.8,4341.91,3218.4,2869.42,2529,3081.63,3592.74,4119.83,4140.94,2616.74,3133.19
Tert,217.77,234.49,342.8,382.02,285.43,462.86,360.27,219.47,117.3,146.48,91.12,236.7,523.26,484.29,358.26,473.41,295.28,155.48,498.11,307.07,411.44,335.39,364.15,199.8,248.72,116.23,212.12,158.91,218.44,75.92,67.51,123.3,191.97,162.94,120.28,135.74,178.33,144.99,43.41,67.35,65.85,86.51,68.69,71.53,68.32,144.91,131.32,66.7,670.23,689.91,869.04,578.1,505.33,942.83,1050.79,489.49,369.73,587.29,674.93
Tfam,2091.2,2218.71,1919.29,2527.04,2271.06,2874.09,2097.12,2718.44,2324.38,2529.4,2282.39,2445.53,2156.29,2086.54,1792.49,2508.17,2445.68,2339.92,2406.03,2437,2604.25,2007.69,2581.07,2231.36,2189.08,1762.76,1728.45,1273.03,1928.54,1951.9,1908.92,2310.33,1601.38,2404.29,1706.5,1967.62,2267.59,2795.62,2832.53,2749.32,2777.1,2618,2472.85,3090.74,2581.48,2475.61,3053.24,2354.93,2890.46,3036.68,3101.49,2562.59,2407.11,3568.54,3188.82,3436.59,2134.97,2497.26,2765.18
Tnfrsf19,1414.37,837.46,1418.28,775.34,521.41,1556.8,1055.6,236.44,139.86,516.92,114.12,909.92,1223.84,973.5,948.62,908.89,151.81,171.02,676.23,956.07,803.07,631.45,914.38,150.22,1201.26,484.27,810.36,611.47,451.84,284.72,675.14,569.8,946.22,1262.51,1275.84,995.41,770.21,420.67,52.71,55.38,63.94,52.23,53.76,88.03,51.99,96.61,118.19,59,1086.61,737.86,1678.92,1481.46,1250.89,1738.42,1530.64,671,681.24,939,871.3
Vil1,5668.85,7892.22,5889.72,7173.01,7935.78,7469.41,5244.66,8709.65,9690.91,6128.72,12690.26,7075.65,6648.65,7799.51,8107.86,8043.43,11512.7,11668.49,8624.89,7267.43,7437.9,7727.77,8909.69,13086.26,4642.76,7285.63,8116.9,10882.05,11046.09,10842.99,7961.35,6747.99,4134.12,6835.39,5327.83,7484.15,5386.87,11076.28,17342.47,18109.32,17036.71,15647.62,17665.33,17859.45,17194,21875.91,15679.89,15222.41,10592.07,12682.12,8552.34,7221.62,7173.99,8522.92,9823.1,10933.88,11206.65,8171.62,9223.55
Ywhaz,27015.61,28849.91,28603.85,30617.78,28600.03,29529.79,27254.43,33646.24,23733.71,28429.44,26207.68,29977.92,26500.38,25911.89,24101.02,29521.41,22172.92,21696.71,26801.47,29294.04,24157.54,28246.48,28845.95,22125.45,28565.68,27362.56,25610.17,27681.86,22689.15,15553.47,17210.77,24246.81,15561.79,21208.36,14646.44,17329.21,15877.73,23424.78,17328.52,16576.76,16819.12,17580.11,16212.39,18087.79,17445.02,17268.86,16907.75,13932.07,30372.63,30807.61,31462.81,23953.53,24293.58,28141.52,27674.44,32852.62,28734.83,24654.53,22918.52
