,gene,slope,intercept,r_value,r_squared,p_value,std_err
0,A1BG,0.36510094780237445,5.588793714757594,0.3570454096492739,0.12748142455161782,0.003777293843323208,0.12130564251931687
1,A1BG-AS1,0.22272341604351018,6.021612674232738,0.25700044204762923,0.06604922721267684,0.04035910999021106,0.10636485608940512
2,A1CF,0.21694134912042126,5.2447200954624975,0.6989519846208866,0.4885338768054761,1.3366733722847832e-10,0.028190812064024795
3,A2M,0.3054993727476136,4.8051051084931125,0.7136673034772254,0.5093210200524542,3.6216205592912573e-11,0.03808179448155533
4,A2M-AS1,0.37715977253093347,5.679212792781156,0.5194309929162736,0.26980855640198587,1.0919953652996647e-05,0.07879887751482723
5,A2ML1,0.03270264593847749,6.893134539661248,0.021087131249671105,0.00044466710434085566,0.8686366222936387,0.19691235526288264
6,A2MP1,-0.2810196813604936,7.9965129235450085,-0.25320696943279813,0.06411376936934197,0.043512192019501364,0.13635678903534623
7,A4GALT,0.2943719100920429,5.118203657057401,0.38793102873325774,0.15049048305404364,0.001538563027188049,0.08882395919670649
8,A4GNT,-0.06406636050976011,7.281881483108134,-0.05249537183389919,0.0027557640639793365,0.6803613347910162,0.15477968540952808
9,AA06,-0.004066909595111545,7.034161216738411,-0.005083924430374236,2.5846287613756002e-05,0.9681967397715467,0.10159304437535203
10,AAAS,-0.30332961274080145,9.265442451632648,-0.3593162276093071,0.1291081514233834,0.0035462342182952106,0.10005164817197357
11,AACS,-0.1783422993536501,8.423092512571877,-0.2977569747841749,0.08865921603262376,0.016867504083238713,0.07261677819974685
12,AACSP1,0.14007780607767087,6.5634964122082975,0.0993529572296715,0.009871010110280933,0.4347473644094144,0.17817163945732428
13,AADAC,-0.2601053361439366,8.195566576576688,-0.4323957792362736,0.18696610990134424,0.0003595235750695514,0.06888525900432432
14,AADACL2,-0.03844780900038649,7.137929551292702,-0.02248542450046638,0.0005055943149661737,0.8600108996016246,0.21710250978061493
15,AADACP1,-0.08216173325160096,7.432136208190283,-0.23002376084544435,0.05291093055348218,0.06747074514739988,0.04414651852573583
16,AADAT,-0.1799783130227273,8.028805119439061,-0.612937775595948,0.3756927167525087,7.299338154653817e-08,0.029465047451952893
